file,filename,model,domain,condition,iteration,corpus_type,is_partial,word_count,file_size_kb,issues,source,US_Distinctive_Term_Frequency,length_mismatch_warning
E:\Research paper\output\chatgpt_policy_drafts\Air innovation iteration 10 GPT.txt,Air innovation iteration 10 GPT.txt,ChatGPT,Air Pollution,Innovation,10.0,Primary,False,882,6.2,none,ai_draft,112.43243243243244,True
E:\Research paper\output\chatgpt_policy_drafts\Air unconstrained iteration 8 GPT.txt,Air unconstrained iteration 8 GPT.txt,ChatGPT,Air Pollution,Unconstrained,8.0,Primary,False,892,6.13,none,ai_draft,127.84398699891658,True
E:\Research paper\output\chatgpt_policy_drafts\DPDP innovatino iteration 5 GPT.txt,DPDP innovatino iteration 5 GPT.txt,ChatGPT,Data Protection,Innovation,5.0,Primary,False,1042,7.27,none,ai_draft,93.22033898305085,True
E:\Research paper\output\chatgpt_policy_drafts\DPDP innovation iteration 1 GPT.txt,DPDP innovation iteration 1 GPT.txt,ChatGPT,Data Protection,Innovation,1.0,Primary,False,1205,8.65,none,ai_draft,62.64501160092807,True
E:\Research paper\output\chatgpt_policy_drafts\DPDP innovation iteration 10 GPT.txt,DPDP innovation iteration 10 GPT.txt,ChatGPT,Data Protection,Innovation,10.0,Primary,False,1109,7.62,none,ai_draft,91.14359415305245,True
E:\Research paper\output\chatgpt_policy_drafts\DPDP innovation iteration 2 GPT.txt,DPDP innovation iteration 2 GPT.txt,ChatGPT,Data Protection,Innovation,2.0,Primary,False,1074,7.68,none,ai_draft,68.9655172413793,True
E:\Research paper\output\chatgpt_policy_drafts\DPDP innovation iteration 3 GPT.txt,DPDP innovation iteration 3 GPT.txt,ChatGPT,Data Protection,Innovation,3.0,Primary,False,952,6.82,none,ai_draft,83.66935483870967,True
E:\Research paper\output\chatgpt_policy_drafts\DPDP innovation iteration 4 GPT.txt,DPDP innovation iteration 4 GPT.txt,ChatGPT,Data Protection,Innovation,4.0,Primary,False,1040,7.71,none,ai_draft,75.75757575757576,True
E:\Research paper\output\chatgpt_policy_drafts\DPDP innovation iteration 6 GPT.txt,DPDP innovation iteration 6 GPT.txt,ChatGPT,Data Protection,Innovation,6.0,Primary,False,1081,7.69,none,ai_draft,73.97737162750218,True
E:\Research paper\output\chatgpt_policy_drafts\DPDP innovation iteration 7 GPT.txt,DPDP innovation iteration 7 GPT.txt,ChatGPT,Data Protection,Innovation,7.0,Primary,False,1042,7.6,none,ai_draft,88.5956644674835,True
E:\Research paper\output\chatgpt_policy_drafts\DPDP innovation iteration 8 GPT.txt,DPDP innovation iteration 8 GPT.txt,ChatGPT,Data Protection,Innovation,8.0,Primary,False,1103,7.59,none,ai_draft,77.4526678141136,True
E:\Research paper\output\chatgpt_policy_drafts\DPDP innovation iteration 9 GPT.txt,DPDP innovation iteration 9 GPT.txt,ChatGPT,Data Protection,Innovation,9.0,Primary,False,1087,7.92,none,ai_draft,99.35602575896964,True
E:\Research paper\output\chatgpt_policy_drafts\DPDP status quo iteration 1 GPT.txt,DPDP status quo iteration 1 GPT.txt,ChatGPT,Data Protection,Status Quo,1.0,Primary,False,1296,8.49,none,ai_draft,67.6923076923077,True
E:\Research paper\output\chatgpt_policy_drafts\DPDP status quo iteration 10 GPT.txt,DPDP status quo iteration 10 GPT.txt,ChatGPT,Data Protection,Status Quo,10.0,Primary,False,1063,7.1,none,ai_draft,85.4779411764706,True
E:\Research paper\output\chatgpt_policy_drafts\DPDP status quo iteration 2 GPT.txt,DPDP status quo iteration 2 GPT.txt,ChatGPT,Data Protection,Status Quo,2.0,Primary,False,1352,8.91,none,ai_draft,80.3834808259587,True
E:\Research paper\output\chatgpt_policy_drafts\DPDP status quo iteration 3 GPT.txt,DPDP status quo iteration 3 GPT.txt,ChatGPT,Data Protection,Status Quo,3.0,Primary,False,989,6.75,none,ai_draft,97.29187562688064,True
E:\Research paper\output\chatgpt_policy_drafts\DPDP status quo iteration 4 GPT.txt,DPDP status quo iteration 4 GPT.txt,ChatGPT,Data Protection,Status Quo,4.0,Primary,False,1107,7.47,none,ai_draft,99.72552607502287,True
E:\Research paper\output\chatgpt_policy_drafts\DPDP status quo iteration 5 GPT.txt,DPDP status quo iteration 5 GPT.txt,ChatGPT,Data Protection,Status Quo,5.0,Primary,False,1016,6.84,none,ai_draft,97.20885466794995,True
E:\Research paper\output\chatgpt_policy_drafts\DPDP status quo iteration 6 GPT.txt,DPDP status quo iteration 6 GPT.txt,ChatGPT,Data Protection,Status Quo,6.0,Primary,False,1194,7.79,none,ai_draft,71.25506072874494,True
E:\Research paper\output\chatgpt_policy_drafts\DPDP status quo iteration 7 GPT.txt,DPDP status quo iteration 7 GPT.txt,ChatGPT,Data Protection,Status Quo,7.0,Primary,False,1384,8.95,none,ai_draft,71.27429805615552,True
E:\Research paper\output\chatgpt_policy_drafts\DPDP status quo iteration 8 GPT.txt,DPDP status quo iteration 8 GPT.txt,ChatGPT,Data Protection,Status Quo,8.0,Primary,False,1188,7.87,none,ai_draft,84.10428931875526,True
E:\Research paper\output\chatgpt_policy_drafts\DPDP status quo iteration 9 GPT.txt,DPDP status quo iteration 9 GPT.txt,ChatGPT,Data Protection,Status Quo,9.0,Primary,False,1123,7.37,none,ai_draft,93.8337801608579,True
E:\Research paper\output\chatgpt_policy_drafts\DPDP unconstrained iteration 1 GPT.txt,DPDP unconstrained iteration 1 GPT.txt,ChatGPT,Data Protection,Unconstrained,1.0,Primary,False,965,6.45,none,ai_draft,83.59133126934984,True
E:\Research paper\output\chatgpt_policy_drafts\DPDP unconstrained iteration 10 GPT.txt,DPDP unconstrained iteration 10 GPT.txt,ChatGPT,Data Protection,Unconstrained,10.0,Primary,False,1132,7.71,none,ai_draft,86.10400682011935,True
E:\Research paper\output\chatgpt_policy_drafts\DPDP unconstrained iteration 2 GPT.txt,DPDP unconstrained iteration 2 GPT.txt,ChatGPT,Data Protection,Unconstrained,2.0,Primary,False,1238,8.4,none,ai_draft,79.51807228915662,True
E:\Research paper\output\chatgpt_policy_drafts\DPDP unconstrained iteration 3 GPT.txt,DPDP unconstrained iteration 3 GPT.txt,ChatGPT,Data Protection,Unconstrained,3.0,Primary,False,1138,7.69,none,ai_draft,101.44927536231884,True
E:\Research paper\output\chatgpt_policy_drafts\DPDP unconstrained iteration 4 GPT.txt,DPDP unconstrained iteration 4 GPT.txt,ChatGPT,Data Protection,Unconstrained,4.0,Primary,False,1082,7.37,none,ai_draft,96.94793536804308,True
E:\Research paper\output\chatgpt_policy_drafts\DPDP unconstrained iteration 5 GPT.txt,DPDP unconstrained iteration 5 GPT.txt,ChatGPT,Data Protection,Unconstrained,5.0,Primary,False,1216,8.27,none,ai_draft,88.83647798742138,True
E:\Research paper\output\chatgpt_policy_drafts\DPDP unconstrained iteration 6 GPT.txt,DPDP unconstrained iteration 6 GPT.txt,ChatGPT,Data Protection,Unconstrained,6.0,Primary,False,1170,7.93,none,ai_draft,68.73977086743044,True
E:\Research paper\output\chatgpt_policy_drafts\DPDP unconstrained iteration 7 GPT.txt,DPDP unconstrained iteration 7 GPT.txt,ChatGPT,Data Protection,Unconstrained,7.0,Primary,False,1247,8.43,none,ai_draft,91.6030534351145,True
E:\Research paper\output\chatgpt_policy_drafts\DPDP unconstrained iteration 8 GPT.txt,DPDP unconstrained iteration 8 GPT.txt,ChatGPT,Data Protection,Unconstrained,8.0,Primary,False,1284,8.84,none,ai_draft,97.13855421686748,True
E:\Research paper\output\chatgpt_policy_drafts\DPDP unconstrained iteration 9 GPT.txt,DPDP unconstrained iteration 9 GPT.txt,ChatGPT,Data Protection,Unconstrained,9.0,Primary,False,1292,8.73,none,ai_draft,86.59003831417625,True
E:\Research paper\output\gemini_policy_drafts\Air innovation iteration 1 gemini.txt,Air innovation iteration 1 gemini.txt,Gemini,Air Pollution,Innovation,1.0,Primary,False,693,4.75,none,ai_draft,72.42339832869081,True
E:\Research paper\output\gemini_policy_drafts\Air innovation iteration 10 gemini.txt,Air innovation iteration 10 gemini.txt,Gemini,Air Pollution,Innovation,10.0,Primary,False,724,4.91,none,ai_draft,77.85234899328859,True
E:\Research paper\output\gemini_policy_drafts\Air innovation iteration 2 gemini.txt,Air innovation iteration 2 gemini.txt,Gemini,Air Pollution,Innovation,2.0,Primary,False,649,4.61,none,ai_draft,78.51851851851852,True
