file,filename,model,domain,condition,iteration,corpus_type,is_partial,word_count,file_size_kb,issues,source,jsd_score,tfidf_distance,bert_score_f1,mattr,hedge_density,mean_sent_len,sent_len_var,sent_var_red
E:\Research paper\output\chatgpt_policy_drafts\AIr status quo iteration 2 GPT.txt,AIr status quo iteration 2 GPT.txt,ChatGPT,Air Pollution,Status Quo,2.0,Primary,False,1122,7.68,none,ai_draft,0.6399738978199355,0.4786642558865828,0.6182065010070801,0.7809741550695826,0.4456327985739751,24.6,643.1733333333334,-27.714671533924285
E:\Research paper\output\chatgpt_policy_drafts\Air Innovation iteration 1 GPT.txt,Air Innovation iteration 1 GPT.txt,ChatGPT,Air Pollution,Innovation,1.0,Primary,False,1020,7.18,none,ai_draft,0.7001986495654835,0.6968955041440038,0.6001859903335571,0.829922822491731,0.29411764705882354,20.612244897959183,120.89046230737193,-86.41329432765022
E:\Research paper\output\chatgpt_policy_drafts\Air innovation iteration 10 GPT.txt,Air innovation iteration 10 GPT.txt,ChatGPT,Air Pollution,Innovation,10.0,Primary,False,882,6.2,none,ai_draft,0.7017586948330831,0.756904548903357,0.5817309021949768,0.8211855670103093,0.22675736961451248,21.875,152.559375,-82.8540706510621
E:\Research paper\output\chatgpt_policy_drafts\Air innovation iteration 2 GPT.txt,Air innovation iteration 2 GPT.txt,ChatGPT,Air Pollution,Innovation,2.0,Primary,False,1003,7.29,none,ai_draft,0.70039705229558,0.7304710663761087,0.5892595052719116,0.8383628318584072,0.09970089730807577,15.746031746031745,160.0942302847065,-82.00723907243216
E:\Research paper\output\chatgpt_policy_drafts\Air innovation iteration 3 GPT.txt,Air innovation iteration 3 GPT.txt,ChatGPT,Air Pollution,Innovation,3.0,Primary,False,1031,7.5,none,ai_draft,0.6910280940172306,0.7303286119889663,0.5868446230888367,0.8427192982456141,0.4849660523763337,13.904109589041095,97.62094201538748,-89.02852233910504
E:\Research paper\output\chatgpt_policy_drafts\Air innovation iteration 4 GPT.txt,Air innovation iteration 4 GPT.txt,ChatGPT,Air Pollution,Innovation,4.0,Primary,False,934,6.46,none,ai_draft,0.6945707657524998,0.7153455351667961,0.585921585559845,0.8475517661388551,0.21413276231263384,18.836734693877553,89.60599750104124,-89.92931045768928
E:\Research paper\output\chatgpt_policy_drafts\Air innovation iteration 5 GPT.txt,Air innovation iteration 5 GPT.txt,ChatGPT,Air Pollution,Innovation,5.0,Primary,False,1137,8.03,none,ai_draft,0.6924143086064695,0.7367001296619533,0.5886732935905457,0.8353451676528599,0.1759014951627089,19.771929824561404,218.00061557402273,-75.49922348163025
E:\Research paper\output\chatgpt_policy_drafts\Air innovation iteration 6 GPT.txt,Air innovation iteration 6 GPT.txt,ChatGPT,Air Pollution,Innovation,6.0,Primary,False,975,7.02,none,ai_draft,0.7074370833816132,0.6945050097251315,0.5799708366394043,0.8281463990554899,0.41025641025641024,16.271186440677965,89.89255960930767,-89.8971041533411
E:\Research paper\output\chatgpt_policy_drafts\Air innovation iteration 7 GPT.txt,Air innovation iteration 7 GPT.txt,ChatGPT,Air Pollution,Innovation,7.0,Primary,False,985,7.02,none,ai_draft,0.6898204611327768,0.7079867449837798,0.6064775586128235,0.8117249154453213,0.3045685279187817,17.944444444444443,486.90432098765416,-45.277521703619335
E:\Research paper\output\chatgpt_policy_drafts\Air innovation iteration 8 GPT.txt,Air innovation iteration 8 GPT.txt,ChatGPT,Air Pollution,Innovation,8.0,Primary,False,1106,8.27,none,ai_draft,0.6998019201559054,0.7506417768282249,0.5928594470024109,0.8487937743190663,0.45207956600361665,21.529411764705884,87.30795847750868,-90.18758376759627
E:\Research paper\output\chatgpt_policy_drafts\Air innovation iteration 9 GPT.txt,Air innovation iteration 9 GPT.txt,ChatGPT,Air Pollution,Innovation,9.0,Primary,False,992,6.98,none,ai_draft,0.6961363461139194,0.7375094654610932,0.5884345769882202,0.8421333333333334,0.3024193548387097,20.102040816326532,155.03040399833404,-82.57635524599695
E:\Research paper\output\chatgpt_policy_drafts\Air status quo iteration 1 GPT.txt,Air status quo iteration 1 GPT.txt,ChatGPT,Air Pollution,Status Quo,1.0,Primary,False,1032,6.92,none,ai_draft,0.6318162809768244,0.5438822011529708,0.6087517142295837,0.8038238453276048,0.3875968992248062,26.736842105263158,339.7202216066483,-61.8193315351933
E:\Research paper\output\chatgpt_policy_drafts\Air status quo iteration 10 GPT.txt,Air status quo iteration 10 GPT.txt,ChatGPT,Air Pollution,Status Quo,10.0,Primary,False,1005,6.65,none,ai_draft,0.6267420714254776,0.4591378546831214,0.6233373284339905,0.8062513904338156,0.1990049751243781,31.09375,1212.3349609375,36.25258747606801
E:\Research paper\output\chatgpt_policy_drafts\Air status quo iteration 3 GPT.txt,Air status quo iteration 3 GPT.txt,ChatGPT,Air Pollution,Status Quo,3.0,Primary,False,1117,7.49,none,ai_draft,0.6299641692266985,0.5271952446526622,0.6088003516197205,0.7982539682539683,0.17905102954341987,28.333333333333332,1133.6581196581199,27.410210126437068
E:\Research paper\output\chatgpt_policy_drafts\Air status quo iteration 4 GPT.txt,Air status quo iteration 4 GPT.txt,ChatGPT,Air Pollution,Status Quo,4.0,Primary,False,1054,7.37,none,ai_draft,0.6397372092314191,0.5114791313127833,0.6189706325531006,0.7781083953241233,0.18975332068311196,26.075,936.469375,5.2484499310123125
