file,filename,model,domain,condition,iteration,corpus_type,is_partial,word_count,file_size_kb,issues,source,jsd_score,tfidf_distance,bert_score_f1,mattr,hedge_density,mean_sent_len,sent_len_var,sent_var_red,Care_Fairness_Score,Authority_Loyalty_Score,Technocratic_Framing_Score,legal_context_risk_authority,legal_context_risk_care,US_Distinctive_Term_Frequency,length_mismatch_warning,GDPR_Mean_Similarity,GDPR_High_Sim_Sentences
E:\Research paper\output\sarvam_policy_drafts\Air status quo iteration 9 sarvam.txt,Air status quo iteration 9 sarvam.txt,Sarvam,Air Pollution,Status Quo,9.0,Supplementary,False,88,0.56,under_3KB|refusal_detected|very_short_output,ai_draft,,,,,,,,,,,,,,117.6470588235294,True,,
E:\Research paper\output\sarvam_policy_drafts\National innovation iteration 1 sarvam.txt,National innovation iteration 1 sarvam.txt,Sarvam,National Security,Innovation,1.0,Supplementary,True,98,0.8,under_3KB|refusal_detected|very_short_output,ai_draft,,,,,,,,,,,,,,125.0,True,,
E:\Research paper\output\sarvam_policy_drafts\National innovation iteration 2 sarvam.txt,National innovation iteration 2 sarvam.txt,Sarvam,National Security,Innovation,2.0,Supplementary,True,137,0.99,under_3KB|refusal_detected,ai_draft,,,,,,,,,,,,,,64.74820143884892,True,,
E:\Research paper\output\sarvam_policy_drafts\National innovation iteration 6 sarvam.txt,National innovation iteration 6 sarvam.txt,Sarvam,National Security,Innovation,6.0,Supplementary,True,118,0.89,under_3KB|refusal_detected,ai_draft,,,,,,,,,,,,,,97.34513274336284,True,,
E:\Research paper\output\sarvam_policy_drafts\National innovation iteration 7 sarvam.txt,National innovation iteration 7 sarvam.txt,Sarvam,National Security,Innovation,7.0,Supplementary,True,113,0.8,under_3KB|refusal_detected,ai_draft,,,,,,,,,,,,,,81.08108108108108,True,,
E:\Research paper\output\sarvam_policy_drafts\National status quo iteration 10 sarvam.txt,National status quo iteration 10 sarvam.txt,Sarvam,National Security,Status Quo,10.0,Supplementary,True,100,0.67,under_3KB|refusal_detected,ai_draft,,,,,,,,,,,,,,60.60606060606061,True,,
E:\Research paper\output\sarvam_policy_drafts\National unconstrained iteration 1 sarvam.txt,National unconstrained iteration 1 sarvam.txt,Sarvam,National Security,Unconstrained,1.0,Supplementary,True,93,0.67,under_3KB|refusal_detected|very_short_output,ai_draft,,,,,,,,,,,,,,102.27272727272728,True,,
E:\Research paper\output\sarvam_policy_drafts\National unconstrained iteration 10 sarvam.txt,National unconstrained iteration 10 sarvam.txt,Sarvam,National Security,Unconstrained,10.0,Supplementary,True,102,0.72,under_3KB|refusal_detected,ai_draft,,,,,,,,,,,,,,103.09278350515464,True,,
E:\Research paper\output\sarvam_policy_drafts\National unconstrained iteration 4 sarvam.txt,National unconstrained iteration 4 sarvam.txt,Sarvam,National Security,Unconstrained,4.0,Supplementary,False,95,0.7,under_3KB|very_short_output,ai_draft,,,,,,,,,,,,,,76.92307692307693,True,,
E:\Research paper\output\sarvam_policy_drafts\National unconstrained iteration 5 sarvam.txt,National unconstrained iteration 5 sarvam.txt,Sarvam,National Security,Unconstrained,5.0,Supplementary,False,127,0.93,under_3KB,ai_draft,,,,,,,,,,,,,,88.0,True,,
E:\Research paper\output\sarvam_policy_drafts\National unconstrained iteration 6 sarvam.txt,National unconstrained iteration 6 sarvam.txt,Sarvam,National Security,Unconstrained,6.0,Supplementary,False,97,0.72,under_3KB|very_short_output,ai_draft,,,,,,,,,,,,,,118.27956989247312,True,,
E:\Research paper\output\sarvam_policy_drafts\National unconstrained iteration 7 sarvam.txt,National unconstrained iteration 7 sarvam.txt,Sarvam,National Security,Unconstrained,7.0,Supplementary,True,91,0.64,under_3KB|refusal_detected|very_short_output,ai_draft,,,,,,,,,,,,,,102.27272727272728,True,,
E:\Research paper\output\sarvam_policy_drafts\National unconstrained iteration 9 sarvam.txt,National unconstrained iteration 9 sarvam.txt,Sarvam,National Security,Unconstrained,9.0,Supplementary,False,126,0.93,under_3KB,ai_draft,,,,,,,,,,,,,,120.0,True,,
