# WARNING: Only 2 models present in ANOVA after refusal filtering. Sarvam excluded due to systemic alignment refusals in National Security domain. Results reflect ChatGPT vs Gemini comparison only.
Source,SS,DF,MS,F,p_unc,np2,metric,p_BH_corrected
model,0.0025698795189723076,1.0,0.0025698795189723076,9.728312109121092,0.0021481504576345537,0.05664943648278243,jsd_score,0.003132719417383724
domain,0.2673066027206659,2.0,0.13365330136033296,505.9462984349145,2.1419962857891404e-70,0.8619975963457209,jsd_score,7.496987000261992e-69
condition,0.36099193934148127,2.0,0.18049596967074064,683.269824298071,1.1073956270676936e-79,0.8940164881239516,jsd_score,7.751769389473855e-78
model * domain,0.011520828069103881,2.0,0.0057604140345519405,21.80612172367237,4.10912609599433e-09,0.2121091755827926,jsd_score,1.1241650926311694e-08
model * condition,0.016369673651323524,2.0,0.008184836825661762,30.983805510893127,4.033792507113486e-12,0.27668112696776687,jsd_score,1.4861340815681263e-11
domain * condition,0.06445296131905547,4.0,0.016113240329763866,60.996879371180086,2.384296160524375e-31,0.6009729535438315,jsd_score,1.8544525692967363e-30
model * domain * condition,0.013538811169991866,4.0,0.0033847027924979664,12.812836134513264,4.380622668795186e-09,0.24033304291269145,jsd_score,1.1357169882061592e-08
Residual,0.042794729178474766,162.0,0.0002641649949288566,,,,jsd_score,
model,0.008239574533223926,1.0,0.008239574533223926,75.1339841998202,4.332853625993682e-15,0.3168419088193989,bert_score_f1,1.784116198938575e-14
domain,0.07843465406388107,2.0,0.03921732703194054,357.60997339071264,3.792519383752369e-60,0.8153256767651168,bert_score_f1,6.636908921566646e-59
condition,0.07641536509381884,2.0,0.03820768254690942,348.4033556849218,2.1143962186391406e-59,0.8113661690631164,bert_score_f1,2.960154706094797e-58
model * domain,0.006168338958173383,2.0,0.0030841694790866916,28.123532347076058,3.280158694344881e-11,0.25772197565624,bert_score_f1,1.1480555430207084e-10
model * condition,0.008086998826056919,2.0,0.004043499413028459,36.87134812428137,6.356502510631453e-14,0.3128100994094417,bert_score_f1,2.4719731985788985e-13
domain * condition,0.013752433675916437,4.0,0.0034381084189791093,31.350985731998954,2.4730138453876945e-19,0.43633341161020067,bert_score_f1,1.1540731278475908e-18
model * domain * condition,0.0060215541928864275,4.0,0.0015053885482216069,13.727145611779202,1.1609920943877278e-09,0.25314158539809617,bert_score_f1,3.5334542003104758e-09
Residual,0.017765743273141506,162.0,0.00010966508193297226,,,,bert_score_f1,
model,0.0014581829653969357,1.0,0.0014581829653969357,6.506803065519592,0.011672609223889728,0.038614482900073695,mattr,0.01634165291344562
domain,0.08660123862871033,2.0,0.043300619314355165,193.21896440948174,1.262961557800376e-43,0.7046156155741093,mattr,1.1050913630753291e-42
condition,0.1329926862814892,2.0,0.0664963431407446,296.72449868200124,6.856446598707475e-55,0.7855579919157103,mattr,6.856446598707474e-54
model * domain,0.0023484724676973703,2.0,0.0011742362338486852,5.239756674822325,0.006237021023651555,0.06075801784297091,mattr,0.008910030033787937
model * condition,0.009764449665761555,2.0,0.0048822248328807775,21.785795241749355,4.175470344058629e-09,0.21195336564269182,mattr,1.1241650926311694e-08
domain * condition,0.013679325162016349,4.0,0.0034198312905040873,15.26020345365542,1.3075786369361608e-10,0.27367553395566063,mattr,4.1604774811605116e-10
model * domain * condition,0.0024683536026878774,4.0,0.0006170884006719694,2.753613773080901,0.029880332668228614,0.06366205116471971,mattr,0.03669514538203514
Residual,0.03630440909547338,162.0,0.00022410129071279866,,,,mattr,
model,0.7849717263529935,1.0,0.7849717263529935,28.790652506590874,2.7475540848606115e-07,0.15090179800918863,hedge_density,6.010274560632588e-07
domain,0.594533814761977,2.0,0.2972669073809885,10.90295095325039,3.610776000749385e-05,0.11863548275829089,hedge_density,6.48088000134505e-05
condition,0.23338569203749107,2.0,0.11669284601874554,4.279979860344695,0.015440889337635858,0.05018739295381672,hedge_density,0.020249149016506852
model * domain,0.4032534257218594,2.0,0.2016267128609297,7.395125749299629,0.0008444866210108575,0.08365988154452308,hedge_density,0.0013136458549057783
model * condition,0.07366873154426233,2.0,0.036834365772131165,1.3509855064119904,0.2618868332172044,0.016405213587963687,hedge_density,0.28643872383131735
domain * condition,0.3446051878481097,4.0,0.08615129696202742,3.1597979526595856,0.015620772098448144,0.07237316938767699,hedge_density,0.020249149016506852
model * domain * condition,0.22775838186052835,4.0,0.05693959546513209,2.0883912781404907,0.0846827714844747,0.049036632177567305,hedge_density,0.10047108481208862
Residual,4.416899535016572,162.0,0.027264811944546743,,,,hedge_density,
model,2108.2339155231834,1.0,2108.2339155231834,165.41061775565032,1.5503269313828612e-26,0.5052084715196923,mean_sent_len,9.865716836072753e-26
domain,456.97693910053084,2.0,228.48846955026542,17.927051936726563,9.263307725996756e-08,0.1812148607055697,mean_sent_len,2.23597083041301e-07
condition,1540.3748854289013,2.0,770.1874427144506,60.4283897289579,2.4764080238891996e-20,0.42727199146342965,mean_sent_len,1.2382040119445997e-19
model * domain,396.13827881905405,2.0,198.06913940952703,15.540371714364262,6.696690516055575e-07,0.16097277686421016,mean_sent_len,1.4205101094663341e-06
model * condition,61.01392265698802,2.0,30.50696132849401,2.3935557065268354,0.09452674751239296,0.028701926500772797,mean_sent_len,0.10672374719141141
domain * condition,468.8520207665125,4.0,117.21300519162813,9.196453702307519,1.012343171673403e-06,0.18505251415717228,mean_sent_len,2.024686343346806e-06
model * domain * condition,350.99578332159524,4.0,87.74894583039881,6.88472338403274,3.830906430038086e-05,0.1452941558450184,mean_sent_len,6.704086252566651e-05
Residual,2064.7640335838664,162.0,12.745456997431274,,,,mean_sent_len,
model,54.648234989728024,1.0,54.648234989728024,0.0010727879019360226,0.973911526555185,6.622103690267274e-06,sent_len_var,0.973911526555185
domain,119184.66115697607,2.0,59592.330578488036,1.1698443930493028,0.31302346992117297,0.01423690651589282,sent_len_var,0.3371021983766478
condition,8773572.890114717,2.0,4386786.445057359,86.11607360272566,3.332809107897563e-26,0.5153069465205596,sent_len_var,1.9441386462735785e-25
model * domain,447959.19398173835,2.0,223979.59699086918,4.396895928614624,0.013819032922813005,0.05148777225216825,sent_len_var,0.0189673000901355
model * condition,1047028.6792526352,2.0,523514.3396263176,10.276998884716125,6.280829234753699e-05,0.11259133199258764,sent_len_var,0.00010723366986164851
domain * condition,1152162.2126241983,4.0,288040.5531560496,5.654462962085643,0.00027599857294076206,0.12251172690993276,sent_len_var,0.0004599976215679368
model * domain * condition,2094107.2317671212,4.0,523526.8079417803,10.27724364757056,1.9278117480161491e-07,0.2023986122386199,sent_len_var,4.3531233019719497e-07
Residual,8252343.312559004,162.0,50940.390818265456,,,,sent_len_var,
model,282.1770378552594,1.0,282.1770378552594,40.43005824372111,1.9893087816763832e-09,0.19972359141963125,Care_Fairness_Score,5.8021506132227845e-09
domain,4461.117879965032,2.0,2230.558939982516,319.5923684825267,5.866379303063146e-57,0.7977994430926532,Care_Fairness_Score,6.844109186907004e-56
condition,60.43281456034336,2.0,30.21640728017168,4.329378164639946,0.014733349445686193,0.050737252019891294,Care_Fairness_Score,0.019833355023039106
model * domain,56.65606161872237,2.0,28.328030809361184,4.058813375664798,0.019055556236802104,0.047717728646635676,Care_Fairness_Score,0.024252526119566315
model * condition,24.52728602381232,2.0,12.26364301190616,1.7571231345404386,0.17581274125276192,0.02123228875034524,Care_Fairness_Score,0.19534749028084658
domain * condition,224.7106003429578,4.0,56.17765008573945,8.049080400818648,6.05951137170878e-06,0.16579264394641186,Care_Fairness_Score,1.1463940432962558e-05
model * domain * condition,56.38655984393221,4.0,14.096639960983053,2.019753198187769,0.09408843397540267,0.04750152684973375,Care_Fairness_Score,0.10672374719141141
Residual,1130.6607538625378,162.0,6.979387369521838,,,,Care_Fairness_Score,
